ID, NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, LengthOfWordsMean,LengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, PropositionsLengthMean, PropositionsLengthStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, NumberOfBigramsMean, NumberOfBigramsStd, NumberOfTrigramsMean, NumberOfTrigramsStd,HapaxTokenRatioMean, HapaxTokenRatioStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Author,Class
53114456,87.63461538,10.77573636,3.096153846,0.354076012,68.71153846,9.184720879,3.326923077,0.611465888,0,0,12.5,2.125848247,13.5,2.125848247,6.910384615,0.9408506,3.019230769,0.309489941,4.492115385,0.712609874,2.326923077,0.611465888,10.48076923,2.033284427,0.038461538,0.192307692,15.78846154,2.256073329,14.78846154,2.256073329,0.858846154,0.106872567,0.980576923,0.050131115,6.830769231,3.442301246,60.81326923,23.81800125,9.572692308,2.026231929,9.307692308,3.923491682,11.52788462,4.476776543,8.640576923,4.231618354,0.415384615,1.70060901,4.451923077,2.224135993,AI,1
54125633,75.65384615,8.619933552,2.826923077,0.469088881,58.07692308,7.498323284,2.980769231,0.635197868,0,0,11.76923077,1.539422777,12.76923077,1.539422777,6.472115385,0.928796443,2.769230769,0.421325044,4.723846154,0.940577061,2,0.620173673,10,1.506396618,0,0,14.75,1.7527451,13.75,1.7527451,0.854038462,0.094385861,0.995,0.025076805,4.717307692,2.644131467,75.35096154,20.20680181,8.687884615,2.130508549,6.261538462,2.93278247,8.016923077,3.41336093,5.192692308,2.05794718,0,0,3.394230769,1.224103041,AI,1
56321548,106.8222222,10.76266982,4.333333333,0.632455532,86.8,10.11181927,3.422222222,0.576922444,0.022222222,0.147405546,12.24444444,1.522506056,13.24444444,1.522506056,9.185555556,0.907968564,2,0,6.622222222,0.761253028,2.4,0.533333333,10.24444444,1.551423082,0.133333333,0.339934634,15.55555556,1.770819717,14.55555556,1.770819717,0.941111111,0.070434279,0.988444444,0.032860348,15.87333333,4.261528156,4.848,31.77451345,13.30577778,2.019310651,19.16222222,3.72208358,22.24511111,4.854160929,18.11266667,5.276137223,0,0,10.53333333,2.080064102,AI,1
56337417,81.98113208,5.268240786,3.075471698,0.427765436,63.64150943,5.230874741,3.094339623,0.591261872,0,0,12.16981132,1.476045828,13.16981132,1.476045828,6.759245283,0.977130665,2.943396226,0.231083938,4.528490566,0.843517783,2.094339623,0.591261872,10.24528302,1.565014442,0.037735849,0.190556697,15.26415094,1.591853594,14.26415094,1.591853594,0.846415094,0.086025322,0.977735849,0.053681152,5.537735849,3.310032002,68.8754717,23.06022923,8.834150943,2.064272391,7.660377358,3.32096483,9.797358491,3.833541223,6.986226415,3.63891142,0,0,3.674528302,1.8031582,AI,1
56554591,85.90384615,9.319664106,3.519230769,0.664784078,67.42307692,7.71199404,2.942307692,0.632864718,0,0,12.01923077,1.985431406,13.01923077,1.985431406,7.388846154,1.240763806,2.673076923,0.469088881,4.990384615,1.041683108,1.942307692,0.632864718,10.42307692,1.884615385,0.057692308,0.233160686,14.96153846,2.244322225,13.96153846,2.244322225,0.893846154,0.111926381,0.984423077,0.044220316,8.188461538,4.407408703,51.68769231,31.63177192,9.295192308,2.128493048,10.10192308,4.372883681,12.63096154,5.197632323,9.933461538,4.624752336,0,0,4.980769231,2.254187425,AI,1
58477691,84.05882353,8.07662268,3.490196078,0.696561556,65.60784314,7.132027821,3.176470588,1.115064095,0,0,11.78431373,1.95351594,12.78431373,1.95351594,7.471372549,1.196683357,2.62745098,0.739920089,5.222745098,1.446399286,2.176470588,1.115064095,10.33333333,2.025975114,0.039215686,0.194107744,14.88235294,2.04505198,13.88235294,2.04505198,0.910588235,0.079444438,0.991568627,0.034091719,8.417647059,2.904540454,52.75803922,20.85753214,9.147843137,2.11206461,10.89607843,3.54151628,12.91764706,4.379685542,10.57980392,3.703417336,0,0,5.759803922,2.313621633,AI,1
64174539,81.98148148,9.781862923,4.092592593,0.585899704,63.90740741,9.094704439,3.462962963,0.738190053,0,0,10.51851852,1.630050451,11.51851852,1.630050451,8.203703704,1.336358092,2.981481481,0.303726286,3.898148148,0.623761214,2.462962963,0.738190053,8.481481481,1.696846102,0.018518519,0.13481685,13.87037037,1.721823928,12.87037037,1.721823928,0.825555556,0.07955121,0.988888889,0.039705708,8.368518519,3.766559687,47.2,26.88515445,9.961481481,2.45115952,11.53333333,4.131764935,14.05981481,5.019925295,10.81555556,3.890329257,0.144444444,1.051571428,3.922777778,1.746328865,AI,1
66050763,77.03636364,8.555622577,3.618181818,0.673954654,61.32727273,7.696645185,2.872727273,0.853964987,0,0,9.218181818,1.435788147,10.2,1.432099539,8.478181818,1.166737629,2.236363636,0.424848053,4.675636364,0.872348478,1.872727273,0.853964987,8.054545455,1.457497005,0.054545455,0.227090836,11.98181818,1.773449736,10.98181818,1.773449736,0.950545455,0.072649049,1,0,11.02727273,3.833273206,31.95927273,27.69513924,11.888,2.635030033,14.80363636,4.748548626,18.04,5.649895574,13.03254545,4.641110454,0,0,5.718181818,1.881159305,AI,1
68993180,85.74545455,19.31764919,3.690909091,0.735409033,66.2,16.59068742,3.163636364,1.040343236,0,0,12.69090909,3.373009055,13.69090909,3.373009055,7.812909091,1.74516545,2.309090909,0.499917349,6.156181818,1.790530131,2.163636364,1.040343236,11.47272727,3.36751619,0.018181818,0.133608531,15.8,3.594945947,14.8,3.594945947,0.824,0.153120274,0.959636364,0.087051994,7.729090909,3.905039761,60.90327273,27.94333305,9.073090909,2.215773104,10.23090909,4.617235408,11.56272727,5.613677924,9.667454545,3.740516356,0.056363636,0.414186447,6.657636364,2.785652177,AI,1
69023395,79.01818182,7.506338919,21.23636364,4.216692527,41.96363636,6.458155201,5.963636364,1.190319077,0.090909091,0.394172425,9.763636364,1.413745976,10.76363636,1.413745976,7.160727273,0.860997,3.072727273,0.598621005,3.627636364,0.890980999,4.981818182,1.183076253,5.327272727,1.607420808,2.836363636,0.457806484,15.6,1.825077831,14.6,1.825077831,0.943272727,0.068544731,0.995818182,0.022048781,7.105454545,3.010008649,54.79981818,22.24096061,12.40090909,2.669596682,12.21454545,3.592538641,13.40727273,4.041332118,9.928727273,3.688939761,0,0,3.095454545,1.175015386,AI,1
73237856,72.67272727,4.576837119,21.6,4.830207976,36.49090909,5.821192403,6.072727273,0.683694388,0.054545455,0.400825594,8.454545455,1.276617431,9.454545455,1.276617431,7.249818182,0.878597003,3.418181818,0.593630099,2.825818182,0.488119549,5.054545455,0.698522644,3.872727273,1.176350991,3,0.660578259,14.47272727,1.570808078,13.47272727,1.570808078,0.941636364,0.069563931,1,0,7.898181818,3.442593679,48.42054545,24.26208148,12.83872727,2.738981267,13.85636364,4.342549048,14.66818182,4.870445225,11.70872727,4.97445184,0.425454545,1.771308523,3.231818182,1.521778972,AI,1
84482024,95.41935484,14.21896551,5.290322581,0.886950135,76,12.04828993,3.419354839,0.493453501,0,0,10.70967742,2.344431266,11.70967742,2.344431266,10.57451613,1.330163315,2.032258065,0.176684696,5.78483871,1.196146692,1.419354839,0.493453501,8.64516129,2.403604646,0,0,14.12903226,2.459241104,13.12903226,2.459241104,0.83516129,0.071926081,1,0,13.72258065,3.815732262,17.22935484,28.55643004,11.44451613,1.867273048,19.02258065,4.360801175,22.49774194,5.489605256,16.80451613,4.571869695,0,0,8.524193548,2.229164134,AI,1
